year,state,division_id,division,candidate_id,surname,given_name,ballot_position,party_ab,party_name,votes,total_formal_votes,vote_share,party_std,is_major,is_independent,division_link,above_threshold,running_var,funding_rate,funding_amount,n_candidates,next_vote_share,next_votes,next_total_formal_votes,contests_next,next_vote_share_uncond,vote_share_change,election_pair,next_year,lagged_vote_share
2004,NSW,107,Blaxland,14754,MAJEWSKI,Mark,5,LP,Liberal,21407.0,69005.0,0.3102238968190711,LP,True,False,Blaxland,1,0.2702238968190711,1.94,41529.58,8,0.240975521586449,18665.0,77456.0,1,0.240975521586449,-0.06924837523262209,2004-2007,2007,
2004,NSW,107,Blaxland,15095,BASSI,Raul,6,SAL,Socialist Alliance,493.0,69005.0,0.0071444098253749,SAL,False,False,Blaxland,0,-0.0328555901746251,1.94,0.0,8,0.0067393100599049,522.0,77456.0,1,0.0067393100599049,-0.00040509976547000066,2004-2007,2007,
2004,NSW,107,Blaxland,14702,BOATH,Terry,7,CEC,Citizens Electoral Council,230.0,69005.0,0.0033330918049416,CEC,False,False,Blaxland,0,-0.0366669081950584,1.94,0.0,8,,,,0,0.0,,2004-2007,2007,
2004,NSW,107,Blaxland,14505,MARQUEZ-OBEID,Marlene,8,GRN,The Greens,3205.0,69005.0,0.0464459097166871,GRN,True,False,Blaxland,1,0.006445909716687098,1.94,6217.7,8,0.0646044205742615,5004.0,77456.0,1,0.0646044205742615,0.018158510857574396,2004-2007,2007,
2004,NSW,108,Bradfield,14289,GOODWILL,Robert H,1,GRN,The Greens,9249.0,80770.0,0.1145103379967809,GRN,True,False,Bradfield,1,0.07451033799678089,1.94,17943.06,5,0.1125920480013281,9495.0,84331.0,1,0.1125920480013281,-0.0019182899954527932,2004-2007,2007,
2004,NSW,108,Bradfield,15397,MONTGOMERY,Sarah,2,FFP,Family First,1459.0,80770.0,0.0180636374891667,FFP,False,False,Bradfield,0,-0.0219363625108333,1.94,0.0,5,0.0090002490187475,759.0,84331.0,1,0.0090002490187475,-0.0090633884704192,2004-2007,2007,
2004,NSW,108,Bradfield,14739,NELSON,Brendan,3,LP,Liberal,51356.0,80770.0,0.6358301349510957,LP,True,False,Bradfield,1,0.5958301349510957,1.94,99630.64,5,0.5907317593767416,49817.0,84331.0,1,0.5907317593767416,-0.045098375574354144,2004-2007,2007,
2004,NSW,108,Bradfield,15557,TSOULOS,Jeannette,4,DEM,Australian Democrats,1971.0,80770.0,0.0244026247369072,DEM,False,False,Bradfield,0,-0.015597375263092801,1.94,0.0,5,,,,0,0.0,,2004-2007,2007,
2004,NSW,108,Bradfield,14313,NEELAM,Neil,5,ALP,Australian Labor Party,16735.0,80770.0,0.2071932648260492,ALP,True,False,Bradfield,1,0.16719326482604918,1.94,32465.899999999998,5,0.2669125232713948,22509.0,84331.0,1,0.2669125232713948,0.05971925844534562,2004-2007,2007,
2004,NSW,109,Calare,14716,VAN SCHAIK,Heidi,1,CEC,Citizens Electoral Council,648.0,81334.0,0.0079671478102638,CEC,False,False,Calare,0,-0.0320328521897362,1.94,0.0,7,0.0096374428004418,794.0,82387.0,1,0.0096374428004418,0.0016702949901779996,2004-2007,2007,
2004,NSW,109,Calare,6975,ANDREN,Peter,2,IND,Independent,40851.0,81334.0,0.5022622765387169,IND,False,True,Calare,1,0.46226227653871693,1.94,79250.94,7,0.2310437326277204,19035.0,82387.0,1,0.2310437326277204,-0.27121854391099653,2004-2007,2007,
2004,NSW,109,Calare,14316,ADAMS,Robyn,3,CLR,Country Labor,13439.0,81334.0,0.1652322521946541,CLR,False,False,Calare,1,0.1252322521946541,1.94,26071.66,7,0.2459854103195892,20266.0,82387.0,1,0.2459854103195892,0.08075315812493511,2004-2007,2007,
2004,NSW,109,Calare,14459,NUGENT,Stephen,4,GRN,The Greens,1868.0,81334.0,0.0229670248604519,GRN,True,False,Calare,0,-0.0170329751395481,1.94,0.0,7,0.0285360554456406,2351.0,82387.0,1,0.0285360554456406,0.005569030585188699,2004-2007,2007,
2004,NSW,109,Calare,14574,GRIFFITH,Robert,5,NP,Nationals,10482.0,81334.0,0.1288759928197309,NP,True,False,Calare,1,0.08887599281973088,1.94,20335.079999999998,7,0.4847973588066078,39941.0,82387.0,1,0.4847973588066078,0.3559213659868769,2004-2007,2007,
2004,NSW,109,Calare,15419,WOODS,Melanie,6,FFP,Family First,959.0,81334.0,0.0117908869599429,FFP,False,False,Calare,0,-0.0282091130400571,1.94,0.0,7,,,,0,0.0,,2004-2007,2007,
2004,NSW,109,Calare,14747,BLANCH,Paul,7,LP,Liberal,13087.0,81334.0,0.1609044188162392,LP,True,False,Calare,1,0.1209044188162392,1.94,25388.78,7,,,,0,0.0,,2004-2007,2007,
2004,NSW,110,Charlton,14530,PRITCHARD,Suzanne,1,GRN,The Greens,6964.0,77835.0,0.0894713175306738,GRN,True,False,Charlton,1,0.049471317530673804,1.94,13510.16,7,0.0806414772249137,6708.0,83183.0,1,0.0806414772249137,-0.008829840305760103,2004-2007,2007,
2004,NSW,110,Charlton,15555,ROFFEY,Ben,2,DEM,Australian Democrats,1513.0,77835.0,0.0194385559195734,DEM,False,False,Charlton,0,-0.0205614440804266,1.94,0.0,7,,,,0,0.0,,2004-2007,2007,
2004,NSW,110,Charlton,14704,STOW,David,3,CEC,Citizens Electoral Council,380.0,77835.0,0.0048821224384916,CEC,False,False,Charlton,0,-0.0351178775615084,1.94,0.0,7,0.0035343760143298,294.0,83183.0,1,0.0035343760143298,-0.0013477464241617998,2004-2007,2007,
2004,NSW,110,Charlton,15402,SCARFE,Paul,4,FFP,Family First,3317.0,77835.0,0.0426157898117813,FFP,False,False,Charlton,1,0.002615789811781302,1.94,6434.98,7,,,,0,0.0,,2004-2007,2007,
2004,NSW,110,Charlton,14323,HOARE,Kelly,5,ALP,Australian Labor Party,35765.0,77835.0,0.4594976552964604,ALP,True,False,Charlton,1,0.41949765529646044,1.94,69384.09999999999,7,0.5308296166283977,44156.0,83183.0,1,0.5308296166283977,0.07133196133193725,2004-2007,2007,
2004,NSW,110,Charlton,15353,JOHNSON,Bob,6,HAN,Pauline Hanson's One Nation (NSW Division),2416.0,77835.0,0.031040020556305,ON,False,False,Charlton,0,-0.008959979443695,1.94,0.0,7,,,,0,0.0,,2004-2007,2007,
2004,NSW,110,Charlton,14814,DARCEY,Kurt,7,LP,Liberal,27480.0,77835.0,0.3530545384467142,LP,True,False,Charlton,1,0.3130545384467142,1.94,53311.2,7,0.3168075207674645,26353.0,83183.0,1,0.3168075207674645,-0.036247017679249705,2004-2007,2007,
2004,NSW,111,Chifley,14452,ROBERTSON,Debbie,1,GRN,The Greens,4326.0,71584.0,0.0604324988824318,GRN,True,False,Chifley,1,0.0204324988824318,1.94,8392.44,8,0.0360556578881863,2897.0,80348.0,1,0.0360556578881863,-0.024376840994245502,2004-2007,2007,
2004,NSW,111,Chifley,14850,ASARLOGLOU,Costa,2,LP,Liberal,20814.0,71584.0,0.2907632990612427,LP,True,False,Chifley,1,0.25076329906124273,1.94,40379.159999999996,8,0.2376163687957385,19092.0,80348.0,1,0.2376163687957385,-0.05314693026550421,2004-2007,2007,
2004,NSW,111,Chifley,15404,HEATHCOTE,Robert,3,FFP,Family First,1211.0,71584.0,0.0169171881984801,FFP,False,False,Chifley,0,-0.0230828118015199,1.94,0.0,8,0.0126449942749041,1016.0,80348.0,1,0.0126449942749041,-0.004272193923576001,2004-2007,2007,
2004,NSW,111,Chifley,13209,HYLAND,Wayne,4,IND,Independent,850.0,71584.0,0.0118741618238712,IND,False,True,Chifley,0,-0.0281258381761288,1.94,0.0,8,0.0060237964852889,484.0,80348.0,1,0.0060237964852889,-0.0058503653385823,2004-2007,2007,
