year,state,division_id,division,candidate_id,surname,given_name,ballot_position,party_ab,party_name,votes,total_formal_votes,vote_share,party_std,is_major,is_independent
2004,ACT,101,Canberra,15421,ELLERMAN,Sue,1,GRN,The Greens,10243.0,100678.0,0.10174020143427562,GRN,True,False
2004,ACT,101,Canberra,15166,BARNIER,Belinda,2,LP,Liberal,37238.0,100678.0,0.36987226603627404,LP,True,False
2004,ACT,101,Canberra,14298,ARNOLD,Jim,3,CEC,Citizens Electoral Council,765.0,100678.0,0.007598482290073303,CEC,False,False
2004,ACT,101,Canberra,15360,ELLIS,Annette,4,ALP,Australian Labor Party (ACT Branch),50214.0,100678.0,0.4987584179264586,ALP,True,False
2004,ACT,101,Canberra,15158,MATTHEWS,Aaron,5,DEM,Australian Democrats,2218.0,100678.0,0.022030632312918415,DEM,False,False
2004,ACT,102,Fraser,14756,VASSILOPOULOS,James,1,SAL,Socialist Alliance,2067.0,107948.0,0.019148108348464074,SAL,False,False
2004,ACT,102,Fraser,15359,McMULLAN,Bob,2,ALP,Australian Labor Party (ACT Branch),54622.0,107948.0,0.5060028902805054,ALP,True,False
2004,ACT,102,Fraser,15143,GILES,Adam,3,LP,Liberal,36270.0,107948.0,0.33599510875606775,LP,True,False
2004,ACT,102,Fraser,15137,GRIMSEY,Lynne,4,DEM,Australian Democrats,2792.0,107948.0,0.025864305035757956,DEM,False,False
2004,ACT,102,Fraser,15425,TURBAYNE,David,5,GRN,The Greens,12197.0,107948.0,0.1129895875792048,GRN,True,False
2004,NSW,103,Banks,15349,STAVRINOS,Harry,1,HAN,Pauline Hanson's One Nation (NSW Division),2302.0,73382.0,0.03137009075795154,ON,False,False
2004,NSW,103,Banks,14170,MAKIN,Stephen,2,GRN,The Greens,3433.0,73382.0,0.04678258973590254,GRN,True,False
2004,NSW,103,Banks,14709,GRAY,Roger,3,LP,Liberal,30927.0,73382.0,0.42145212722466,LP,True,False
2004,NSW,103,Banks,15410,BRISCOE-HOUGH,Greg,4,FFP,Family First,655.0,73382.0,0.008925894633561363,FFP,False,False
2004,NSW,103,Banks,15556,CLYBURN,Mark,5,DEM,Australian Democrats,675.0,73382.0,0.009198441034586138,DEM,False,False
2004,NSW,103,Banks,14330,MELHAM,Daryl,6,ALP,Australian Labor Party,32736.0,73382.0,0.44610394919735086,ALP,True,False
2004,NSW,103,Banks,15129,PETERSON,Janne,7,CDP,Christian Democratic Party (Fred Nile Group),2654.0,73382.0,0.03616690741598757,CDP,False,False
2004,NSW,104,Barton,15569,COGHLAN,Eoin,1,DEM,Australian Democrats,1648.0,74329.0,0.022171696107844852,DEM,False,False
2004,NSW,104,Barton,14360,McCLELLAND,Robert,2,ALP,Australian Labor Party,36909.0,74329.0,0.4965625798813384,ALP,True,False
2004,NSW,104,Barton,15382,BAIRD,Neil,3,HAN,Pauline Hanson's One Nation (NSW Division),1284.0,74329.0,0.01727454963742281,ON,False,False
2004,NSW,104,Barton,14891,MORROW,Bruce,4,LP,Liberal,29319.0,74329.0,0.39444900375358205,LP,True,False
2004,NSW,104,Barton,14205,MOURIKIS,Angelo,5,GRN,The Greens,5169.0,74329.0,0.06954217061981191,GRN,True,False
2004,NSW,105,Bennelong,15436,HANNAH,Gary,1,IND,Independent,854.0,76814.0,0.011117764990756894,IND,False,True
2004,NSW,105,Bennelong,15309,ROLLO,Troy,2,IND,Independent,451.0,76814.0,0.005871325539615175,IND,False,True
2004,NSW,105,Bennelong,14198,WILKIE,Andrew,3,GRN,The Greens,12573.0,76814.0,0.1636810997995157,GRN,True,False
2004,NSW,105,Bennelong,15234,LEVICK,Ray,4,CDP,Christian Democratic Party (Fred Nile Group),1824.0,76814.0,0.023745671361991304,CDP,False,False
2004,NSW,105,Bennelong,14355,CAMPBELL,Nicole,5,ALP,Australian Labor Party,21819.0,76814.0,0.28404978259171504,ALP,True,False
2004,NSW,105,Bennelong,14818,HOWARD,John Winston,6,LP,Liberal,38326.0,76814.0,0.49894550472570104,LP,True,False
2004,NSW,105,Bennelong,15558,GOLDFINCH,Peter,7,DEM,Australian Democrats,967.0,76814.0,0.012588850990704819,DEM,False,False
2004,NSW,106,Berowra,14377,HOWDEN,Erland Merlin,1,GRN,The Greens,7465.0,77795.0,0.09595732373545858,GRN,True,False
2004,NSW,106,Berowra,15214,BENSON,Matthew,2,IND,Independent,860.0,77795.0,0.011054695031814384,IND,False,True
2004,NSW,106,Berowra,14369,COLNAN,Michael,3,ALP,Australian Labor Party,20351.0,77795.0,0.2615977890609936,ALP,True,False
2004,NSW,106,Berowra,14745,RUDDOCK,Philip,4,LP,Liberal,43674.0,77795.0,0.56139854746449,LP,True,False
2004,NSW,106,Berowra,15560,VAN DE WEG,Margaret,5,DEM,Australian Democrats,1457.0,77795.0,0.018728710071341345,DEM,False,False
2004,NSW,106,Berowra,15415,CLARK,Lance,6,FFP,Family First,883.0,77795.0,0.011350343852432675,FFP,False,False
2004,NSW,106,Berowra,15533,COLEMAN,Bruce,7,CDP,Christian Democratic Party (Fred Nile Group),2411.0,77795.0,0.030991708978726138,CDP,False,False
2004,NSW,106,Berowra,14656,BLADE,Ross,8,IND,Independent,694.0,77795.0,0.008920881804743236,IND,False,True
2004,NSW,107,Blaxland,15350,VINNICOMBE,Bob,1,HAN,Pauline Hanson's One Nation (NSW Division),3300.0,69005.0,0.04782262154916311,ON,False,False
